username,weightClass,bodyweight,squat,bench,deadlift,total,wilks,date,gender
carl,-105gk,95.0kg,210.0kg,132.0kg,272.5kg,614.5kg,382.24,,male
xin,,,,,222.26kg,,,2015-04-11,male
